 time            v(vin)          v(vout_dm)      v(vout_cm)      v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 7.68678637e-06  1.80956683e-02  3.26380334e-01  7.51153978e-01  7.59047834e-01  7.40952166e-01  9.14344145e-01  5.87963811e-01 
 7.81178637e-06  2.82334966e-02  5.45883717e-01  7.62507776e-01  7.64116748e-01  7.35883252e-01  1.03544963e+00  4.89565917e-01 
 7.93678637e-06  3.56076335e-02  6.71179527e-01  7.71910849e-01  7.67803817e-01  7.32196183e-01  1.10750061e+00  4.36321086e-01 
 8.06178637e-06  3.94962472e-02  7.21062907e-01  7.76129990e-01  7.69748124e-01  7.30251876e-01  1.13666144e+00  4.15598536e-01 
 8.18678637e-06  3.95186930e-02  7.25318262e-01  7.76522114e-01  7.69759346e-01  7.30240654e-01  1.13918124e+00  4.13862983e-01 
 8.31178637e-06  3.56727738e-02  6.92289211e-01  7.73768491e-01  7.67836387e-01  7.32163613e-01  1.11991310e+00  4.27623885e-01 
 8.43678637e-06  2.83349549e-02  6.10905365e-01  7.67308670e-01  7.64167477e-01  7.35832523e-01  1.07276135e+00  4.61855988e-01 
 8.56178637e-06  1.82235132e-02  4.59943720e-01  7.57462761e-01  7.59111757e-01  7.40888243e-01  9.87434620e-01  5.27490901e-01 
 8.68678637e-06  6.32822713e-03  2.32196625e-01  7.48297620e-01  7.53164114e-01  7.46835886e-01  8.64395932e-01  6.32199307e-01 
 8.81178637e-06 -6.18650995e-03 -4.70330113e-02  7.45383404e-01  7.46906745e-01  7.53093255e-01  7.21866899e-01  7.68899910e-01 
 8.93678637e-06 -1.80956683e-02 -3.26380334e-01  7.51153978e-01  7.40952166e-01  7.59047834e-01  5.87963811e-01  9.14344145e-01 
 9.06178637e-06 -2.82334966e-02 -5.45883717e-01  7.62507776e-01  7.35883252e-01  7.64116748e-01  4.89565917e-01  1.03544963e+00 
 9.18678637e-06 -3.56076335e-02 -6.71179527e-01  7.71910849e-01  7.32196183e-01  7.67803817e-01  4.36321086e-01  1.10750061e+00 
 9.31178637e-06 -3.94962472e-02 -7.21062906e-01  7.76129990e-01  7.30251876e-01  7.69748124e-01  4.15598536e-01  1.13666144e+00 
 9.43678637e-06 -3.95186930e-02 -7.25318262e-01  7.76522114e-01  7.30240654e-01  7.69759346e-01  4.13862983e-01  1.13918124e+00 
 9.56178637e-06 -3.56727738e-02 -6.92289211e-01  7.73768491e-01  7.32163613e-01  7.67836387e-01  4.27623885e-01  1.11991310e+00 
 9.68678637e-06 -2.83349549e-02 -6.10905365e-01  7.67308670e-01  7.35832523e-01  7.64167477e-01  4.61855988e-01  1.07276135e+00 
 9.81178637e-06 -1.82235132e-02 -4.59943719e-01  7.57462760e-01  7.40888243e-01  7.59111757e-01  5.27490901e-01  9.87434620e-01 
 9.93678637e-06 -6.32822713e-03 -2.32196626e-01  7.48297620e-01  7.46835886e-01  7.53164114e-01  6.32199307e-01  8.64395932e-01 
 1.00000000e-05 -3.91886976e-17 -9.35738859e-02  7.45764127e-01  7.50000000e-01  7.50000000e-01  6.98977184e-01  7.92551070e-01 
